X;y
9;44,7
10,1;78
11,6;83
9,1;80
9,7;77
11,1;43
9,5;77
13,5;60
10,7;69
9,9;80
8,9;90
10,4;32,8
12,5;49,6
12;37,4
10,5;53
13;57,7
8,2;72
8,2;67,8
7,1;102,6
10;123
8,7;49,3
8,2;57,4
8,1;78
9,8;38,5
9,6;32,5
11,8;109
7,8;86,5
11,1;23,3
11,5;60
11;66
7,9;76,3
13,1;56,9
10,1;37,8
9,8;70
6,9;116,2
10,7;27,6
13,4;61,9
11,5;102
7,1;99,2
10,7;32,3
12,7;32,9
10,2;104
9,6;36,4
15,5;125,6
10,6;78
7,1;106,9
8,9;55,3
13,2;56,1
9,8;91
11,6;80
6,6;126
11,9;71
11,2;62
10,1;77
11,6;92
11;70
13,4;63,2
8,5;55,7
9;53,3
10,9;92
9,9;122
12;118
11,8;110
11;48
13,8;107
10,7;21,9
9,2;47,5
12,8;42,4
13,9;70,2
12;32,7
9,4;26,5
10,3;36,2
11,4;24,8
8,2;65,3
10,9;85
10,6;25,4
10,2;31,3
11,6;30,5
8,2;72,9
10,7;26,2
11,1;24,4
9,6;39,5
10,6;29,1
12,3;39,1
11,6;124
6,3;137,9
10,7;31,3
10,3;22,5
9,9;24,2
9,8;29,7
11,7;35,9
6,6;121,2
8,2;71,1
11,5;36,1
14,6;102
9,5;39,6
9,6;31,6
8,7;59
9,2;41,3
10,1;35,9
11;33,2
10,3;35,2
9,5;35,1
6,9;111
14,9;99,6
9,5;35,7
14;60
8,7;66
13,5;56,9
11,8;39,1
7;112,2
10,1;38
13,3;61,4
10,5;23,5
10,3;68
9,2;36,5
9,7;38,1
11,3;21,6
13,2;48,2
10;53
9,5;39,9
7;102,6
11,3;30,7
10,6;24,6
12,6;41,9
10,2;35,1
13,2;57,4
10,8;76
13,4;56,5
7,8;82,6
13,3;55,2
11,3;88
9,8;39,1
13,8;67,6
8,8;41,6
11,5;29
9,7;36,9
9,5;35,5
9,4;40,2
12,1;24
9,7;47,4
8,8;54,6
9,9;83
10,8;34,3
7,6;90,6
7,2;97,6
9;61,9
8,2;69,6
9;52,5
14,7;98,6
9,4;35,7
7,5;90,4
5,1;197
8;70,9
10,3;124
5;201,4
8,1;73,5
11,1;26,9
8,8;51,9
10,6;33
8;72,3
10,1;30,4
13,4;52,9
10,8;30,4
10,8;25,2
10,8;23,9
10,4;26,4
11,9;34,5
13,9;74,7
11,4;28,8
8,6;62,9
12,4;35
12,4;41,4
8;76,5
10,8;66
12;31,2
7,6;79,3
10;36,3
10,8;35,9
12;33,8
8,9;62,6
7,6;92,3
10,1;34,8
11;24,7
14,2;70,1
9,6;40,4
10,5;24,7
13,4;61,1
14,8;107
9,1;48,1
9,7;41,7
10,3;33,2
11,4;18,5
9,9;35,3
5,7;175
8,9;48,9
8,7;61
12,9;43,6
9,3;43,3
10,4;27,3
7,4;93,6
6,6;128,6
9,4;45,6
12,6;40,5
15,3;119,8
11,9;34,4
9,2;42,8
9,7;39,3
10,9;32,7
10,4;87
12,3;77
10,9;25,1
9,5;43,8
9,8;37,1
10,3;36
10,5;22,8
10,9;26,4
8,6;63,4
10,2;39
9,2;48,1
8,6;60,2
15,4;119,1
9,4;42,3
12;37,9
9,5;43,5
7,2;100,3
10,1;26,7
11;83
8,4;64,8
8,6;54,5
6,8;111,4
11,1;105
8,9;60,3
9,7;36,3
9,9;40,5
10,5;33,7
10,2;38,2
9,5;38
9,6;35,6
11,5;26
9,2;46,5
11;26,5
12,4;35,8
14,6;85
9,6;32,5
11,2;70
11,1;18,1
10,1;32,6
13;45,3
6,6;124,3
11,3;60
7,8;77
6,8;117,9
13,7;71,1
13,1;47,9
8,1;67,2
8,2;67,3
9,4;51,1
10;108
6,4;137,7
10;28,2
10,1;34
8,9;45,3
10,5;22,3
8,4;69,1
13,7;62,5
12,3;42,3
14,2;75,9
9;46,4
10,4;25,6
10,4;53
12;42,7
7,8;71,9
9,7;37,3
11,6;31,2
9,2;47,1
7,3;88,8
11,6;30
11,7;22,6
10,1;31,2
11,9;39,1
8,2;71,5
10,5;37,7
8,4;66,5
6,9;116,6
9,2;40,1
12,7;37,7
5,4;176,8
13,2;46,9
9,8;42,6
7,6;83,5
12,8;43,7
6,1;149,2
7,1;102
10,4;33
11,7;110
11,7;34,3
9,6;32,1
15,2;119,6
9,5;39,7
