Fecha;TRM
30/01/2019;3157,52
31/01/2019;3163,46
1/02/2019;3115,7
4/02/2019;3102,61
5/02/2019;3089,4
6/02/2019;3094,05
7/02/2019;3108,54
8/02/2019;3110,46
11/02/2019;3115,94
12/02/2019;3132,61
13/02/2019;3131,1
14/02/2019;3135,56
15/02/2019;3155,27
18/02/2019;3141,4
19/02/2019;3141,4
20/02/2019;3118,36
21/02/2019;3112,18
22/02/2019;3119,42
25/02/2019;3110,29
26/02/2019;3101,41
27/02/2019;3095,29
28/02/2019;3072,01
1/03/2019;3077,35
4/03/2019;3091,49
5/03/2019;3093,79
6/03/2019;3099,12
7/03/2019;3106,16
8/03/2019;3120,04
11/03/2019;3162,4
12/03/2019;3168,35
13/03/2019;3153,2
14/03/2019;3145,53
15/03/2019;3144,42
18/03/2019;3123,28
19/03/2019;3102,25
20/03/2019;3095,39
21/03/2019;3092,39
22/03/2019;3082,45
26/03/2019;3126,19
27/03/2019;3145,55
28/03/2019;3186,43
29/03/2019;3190,94
1/04/2019;3174,79
2/04/2019;3146,81
3/04/2019;3143,36
4/04/2019;3128,47
5/04/2019;3132,78
8/04/2019;3126,2
9/04/2019;3115,22
10/04/2019;3105,2
11/04/2019;3095,66
12/04/2019;3113,91
15/04/2019;3109,32
16/04/2019;3136,69
17/04/2019;3160,87
22/04/2019;3160,48
23/04/2019;3149,99
24/04/2019;3177,94
25/04/2019;3213,23
26/04/2019;3237,98
29/04/2019;3227,79
30/04/2019;3247,72
2/05/2019;3233,97
3/05/2019;3262,17
6/05/2019;3240,44
7/05/2019;3254,03
8/05/2019;3288,81
9/05/2019;3290,12
10/05/2019;3293,62
13/05/2019;3274,3
14/05/2019;3299,01
15/05/2019;3285,14
16/05/2019;3295,51
17/05/2019;3290,27
20/05/2019;3313,72
21/05/2019;3342,21
22/05/2019;3344,45
23/05/2019;3340,96
24/05/2019;3368,76
27/05/2019;3358,84
28/05/2019;3358,84
29/05/2019;3362,48
30/05/2019;3375,29
31/05/2019;3357,82
4/06/2019;3377,16
5/06/2019;3306,37
6/06/2019;3296,87
7/06/2019;3288,69
10/06/2019;3274,72
11/06/2019;3257,06
12/06/2019;3249,56
13/06/2019;3264,47
14/06/2019;3266,72
17/06/2019;3270,7
18/06/2019;3286,63
19/06/2019;3264,98
20/06/2019;3248,91
21/06/2019;3202,01
25/06/2019;3191,17
26/06/2019;3187,15
27/06/2019;3177,94
28/06/2019;3197,23
2/07/2019;3205,67
3/07/2019;3211,06
4/07/2019;3206,92
5/07/2019;3206,92
8/07/2019;3217,18
9/07/2019;3207,66
10/07/2019;3223,67
11/07/2019;3212,91
12/07/2019;3197,5
15/07/2019;3190,33
16/07/2019;3190,66
17/07/2019;3199,72
18/07/2019;3189,21
19/07/2019;3183,01
22/07/2019;3169,51
23/07/2019;3177,76
