Fecha;CNEC;BVC;BOGOTA;PFDAVVNDA;COLCAP;
may-15;5880;9000;62300;25120;1306,62;
jun-15;5850;8750;60000;26740;1331,35;
jul-15;5500;8050;60020;26480;1317,24;
ago-15;5680;7900;58000;23840;1246,59;
sep-15;6050;8250;59000;23980;1218,82;
oct-15;6700;8250;59000;23820;1218,13;
nov-15;7200;8400;58000;20500;1114,36;
dic-15;6000;8500;59500;21800;1153,71;
ene-16;6190;8250;55800;23160;1175,09;
feb-16;7970;9100;56800;25080;1244,17;
mar-16;7970;8900;60900;27480;1336,27;
abr-16;9300;8950;62980;26840;1342,42;
may-16;8940;8600;58900;26200;1292,51;
jun-16;9800;9000;58500;26880;1313,18;
jul-16;9290;9000;58300;27000;1308,22;
ago-16;9850;9550;60520;29180;1380,18;
sep-16;9500;8850;62600;29500;1338,83;
oct-16;9430;8950;62080;30600;1365,53;
nov-16;10340;9750;61620;28660;1286,07;
dic-16;9980;10850;60200;30000;1351,68;
ene-17;8430;11000;59860;31460;1357,47;
feb-17;8650;11850;58000;29700;1326,31;
mar-17;8540;12150;59500;29920;1365,61;
abr-17;8870;12000;60300;31000;1371,54;
may-17;8680;12000;62380;33020;1439,48;
jun-17;10040;12350;62980;33680;1462,9;
jul-17;10760;12550;68100;33900;1481,37;
ago-17;9900;12950;68980;33000;1482,27;
sep-17;9800;12600;68980;33260;1487,52;
oct-17;9570;12200;64200;29980;1424,58;
nov-17;9700;12250;67160;29000;1445,23;
dic-17;10460;12900;67460;29940;1513,65;
ene-18;9780;13400;66700;31880;1558,18;
feb-18;9480;12550;66020;29700;1478,33;
mar-18;9240;11350;67920;30120;1455,52;
abr-18;9170;11250;69500;33760;1565,56;
may-18;9380;11000;69980;34460;1546,71;
jun-18;9600;11280;68100;37000;1577,01;
jul-18;9290;11960;68500;35700;1526,6;
ago-18;9700;11740;69000;35500;1542,77;
sep-18;9170;11900;66520;34200;1506,07;
oct-18;8730;13000;64020;31000;1392,18;
nov-18;9710;11640;59400;32520;1379,24;
dic-18;9640;11980;55800;30920;1325,93;
ene-19;10100;11640;59800;35640;1447,01;
feb-19;10380;10800;63120;37740;1508,27;
mar-19;10800;12060;66000;37400;1587,74;
abr-19;9520;12500;68880;40000;1573,64;
may-19;10160;12140;66000;38160;1487;
jun-19;10800;12560;67220;40480;1548,98;
jul-19;12700;12060;71500;41140;1562,13;
ago-19;12120;12020;71000;41640;1559,52;
sep-19;12020;11500;80400;42500;1577,96;
oct-19;13000;10800;87020;43200;1633,15;
nov-19;11860;12340;86500;44000;1611,92;
dic-19;11960;11600;85140;45980;1662,42;
ene-20;11000;11000;89000;45980;1623,83;
feb-20;11300;10360;86040;42000;1549,61;
mar-20;10400;8500;71000;30500;1129,18;
abr-20;10040;9370;65080;28720;1142,04;
may-20;10760;10220;58800;25140;1068,54;
