;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
ene-00;371375;130,12;658;517;1923,57;1916
feb-00;354297;124,72;740;642;1950,64;1878,5
mar-00;360016;119,51;592;404;1956,25;1875
abr-00;347538;112,67;1055;731;1986,77;1832
may-00;353750;110,31;1114;615;2055,69;1971,5
jun-00;341688;100,3;1092;869;2120,17;2053,5
jul-00;345190;101,67;811;721;2161,34;2014,5
ago-00;330113;91,87;436;938;2187,38;1970,5
sep-00;330000;89,97;501;674;2213,76;1954
oct-00;330000;90,25;940;831;2176,61;1815
nov-00;330000;84,01;1366;1200;2136,63;1889
dic-00;330000;75,81;1314;1064;2186,21;2107
ene-01;321671;75,33;1231;651;2241,4;2099
feb-01;291527;76,7;541;838;2243,42;2090
mar-01;297145;76,94;482;610;2278,78;2028
abr-01;313350;78,25;978;748;2323,1;2081
may-01;339956;80,92;869;744;2346,93;1964
jun-01;294696;74,38;718;747;2305,66;1954
jul-01;280161;69,7;654;662;2304,28;2007,5
ago-01;283710;73,5;660;658;2288,9;2100,5
sep-01;287563;68,8;766;721;2328,23;2127,5
oct-01;260782;63,85;1243;1127;2320,65;2077
nov-01;274963;65,72;1537;1254;2310,47;2061
dic-01;269964;62,37;1257;1217;2306,9;2029,5
ene-02;276480;63,46;824;712;2274,96;1947,5
feb-02;270960;65,64;808;874;2286,7;2001
mar-02;296859;71,16;778;787;2282,33;1981,5
abr-02;307892;70,17;942;757;2263,11;2052
may-02;284464;63,44;1112;838;2310,24;2165
jun-02;277875;60,86;1052;816;2364,25;2383
jul-02;264823;59,75;868;707;2506,72;2575,5
ago-02;260185;58,92;751;814;2647,22;2651,5
sep-02;302300;62,49;778;726;2751,23;2847
oct-02;311722;66,54;1064;830;2827,86;2758
nov-02;322517;72,83;1380;1144;2726,66;2789,5
dic-02;285694;67,92;1257;1268;2814,89;3009,5
ene-03;323837,5;69,68;924;755;2913;3174,5
feb-03;320897,32;69,6;788;894;2951,86;3199
mar-03;299592,74;61,82;644;724;2959,01;3233
abr-03;312583,33;66,12;1078;835;2926,62;3211,5
may-03;314217,74;67,56;972;759;2858,94;3356,5
jun-03;290500;65,01;1077;914;2826,95;3243
jul-03;319354,84;67,84;1072;909;2858,82;3239
ago-03;300725,81;68,65;661;722;2867,29;3105,5
sep-03;308633,33;68,37;795;746;2840,08;3381
oct-03;296229,84;66,59;1137;887;2876,2;3331,5
nov-03;298533,33;67,04;1176;991;2844,55;3399,5
dic-03;304540,32;69,38;1244;1154;2807,2;3499,5
ene-04;334391,13;76,61;1171;897;2749,14;3415,5
feb-04;334857,76;79,34;770;973;2717,94;3349,5
mar-04;342669,35;80,12;811;885;2670,8;3294,5
abr-04;327254,17;73,45;738;806;2639,6;3184,5
may-04;346229,84;80,62;1091;789;2719,43;3336
jun-04;379407,67;85,62;954;821;2716,56;3279
jul-04;320314,52;78,27;774;832;2653,32;3141,5
ago-04;317887,1;78,85;722;735;2598,59;3091,5
sep-04;351520,83;85,71;465;449;2552,78;3262
oct-04;351024,19;85,52;1077;888;2580,7;3281
nov-04;388120,83;95,62;1337;954;2530,19;3294,5
dic-04;422786,29;106,48;1330;1233;2411,37;3189,5
ene-05;417661,29;110,03;1100;1092;2362,96;3081
feb-05;484334,82;124,34;1023;1167;2340,49;3084
mar-05;558592,74;137,1;726;958;2353,71;3074
abr-05;518929,17;129,74;873;859;2350,01;3023
may-05;503161,29;128,36;955;815;2339,22;2877
jun-05;464250;122,47;948;839;2331,79;2817
jul-05;414729,84;112,47;738;766;2323,38;2801
ago-05;410842,74;111,21;646;759;2306,19;2842,5
sep-05;383387,5;101,31;676;701;2294,52;2752
oct-05;430415,32;108,77;1131;751;2292,55;2738
nov-05;450658,33;111,66;1237;987;2279,85;2681,5
dic-05;447875;106,54;1066;1177;2278,91;2707,5
ene-06;525205,65;129,64;1102;827;2273,66;2755,5
feb-06;476200,89;123,17;888;943;2256,24;2677
mar-06;445254,03;111,75;713;883;2262,36;2776
abr-06;467945,83;119,87;779;623;2334,29;3006
may-06;457887,1;113,03;1087;874;2417,99;3189,5
jun-06;449379,17;106,84;1174;881;2542,24;3291,5
jul-06;451754,03;109,45;821;905;2511,74;3099,5
ago-06;461024,19;116,22;1142;938;2389,65;3069
sep-06;441820,83;112,21;813;964;2398,88;3039
oct-06;429120,97;113,73;1024;964;2364,29;2942
nov-06;475658,33;126,22;1242;929;2290,46;3041,5
dic-06;509866,94;132,85;1294;1216;2261,34;2955
ene-07;477403,23;127,54;963;874;2237,06;2936
feb-07;471285,71;125,54;1001;990;2227,63;2952
mar-07;440387,1;119,92;776;906;2201,39;2942
abr-07;424708,33;117,5;769;753;2144,6;2870
may-07;407157,26;116,14;994;786;2007,91;2549
jun-07;425562,5;122,35;1219;893;1923,76;2675
jul-07;417870,97;122,32;995;947;1950,87;2675
ago-07;449963,71;126,68;990;977;2058,28;2949
sep-07;483641,67;131,51;897;942;2117,05;2889,5
oct-07;496407,26;137,71;1129;844;2003,26;2872
nov-07;489550;133,81;1522;1051;2047,72;3004,5
dic-07;505612,9;139,87;1363;1338;2014,2;2944
ene-08;501520,16;143,37;1404;1029;1980,59;2881,5
feb-08;544293,1;161,3;1090;1194;1903,27;2792,5
mar-08;494048,39;151,47;872;904;1846,9;2887,5
abr-08;439908,33;142,41;886;914;1796,13;2750
may-08;435076,61;143,51;820;864;1778,01;2716,5
jun-08;455125;150,58;1046;946;1712,28;3014,5
jul-08;463806,45;151,58;891;892;1783,09;2800,5
ago-08;499935,48;154,23;715;642;1844,29;2840,5
sep-08;542379,17;150,2;777;939;2066,04;3087,5
oct-08;515869,35;133,37;939;839;2289,17;3037
nov-08;523920,83;137,49;933;915;2329,16;2945
dic-08;509229,84;133,4;1105;1007;2252,72;3144
ene-09;570741,94;148,88;876;868;2252,98;3114,5
feb-09;638629,46;149,58;868;943;2513,74;3235,5
mar-09;660395,16;162;765;817;2477,21;3376,5
abr-09;765395,83;190,94;345;550;2379,36;3028
may-09;835197,58;225,58;702;552;2229,95;3031
jun-09;666450;195,27;685;642;2090,04;3008
jul-09;642282,26;192,11;582;608;2052,68;2904
ago-09;672516,13;181,61;397;474;2018,97;2951
sep-09;613787,5;169,9;467;501;1980,77;2825,5
oct-09;565701,61;175,16;544;535;1904,86;2935
nov-09;591575;180,08;760;616;1973,57;3007
dic-09;673116,94;199,38;821;788;2017,05;2925
ene-10;716729,84;214,55;515;541,2;1978,19;2752
feb-10;678531,25;208,03;648;590;1952,89;2622,5
mar-10;688281,45;206,37;629;576;1909,1;2595
abr-10;660179,17;195,18;647;588;1940,36;2602
may-10;676951,61;197,76;822;576;1984,36;2426
jun-10;750262,5;229,06;780;648;1925,9;2345,5
jul-10;810629,03;230,88;787;612;1874,52;2407,5
ago-10;834798,39;241,77;615;599;1819,06;2316,5
