Fecha;Precio
7/04/2014;1.933,54
8/04/2014;1.933,22
9/04/2014;1.928,41
10/04/2014;1.918,00
11/04/2014;1.927,25
14/04/2014;1.925,84
15/04/2014;1.935,02
16/04/2014;1.931,50
17/04/2014;1.929,50
18/04/2014;1.929,50
21/04/2014;1.918,80
22/04/2014;1.934,00
23/04/2014;1.936,50
24/04/2014;1.937,40
25/04/2014;1.942,75
28/04/2014;1.938,80
29/04/2014;1.933,17
30/04/2014;1.936,00
1/05/2014;1.934,50
2/05/2014;1.923,43
5/05/2014;1.924,62
6/05/2014;1.918,12
7/05/2014;1.910,66
8/05/2014;1.901,10
9/05/2014;1.904,15
12/05/2014;1.914,09
13/05/2014;1.923,64
14/05/2014;1.921,50
15/05/2014;1.926,28
16/05/2014;1.925,86
19/05/2014;1.918,50
20/05/2014;1.921,41
21/05/2014;1.910,62
22/05/2014;1.905,35
23/05/2014;1.910,35
26/05/2014;1.910,80
27/05/2014;1.916,50
28/05/2014;1.910,00
29/05/2014;1.906,50
30/05/2014;1.897,00
2/06/2014;1.903,00
3/06/2014;1.897,78
4/06/2014;1.898,25
5/06/2014;1.891,80
6/06/2014;1.883,85
9/06/2014;1.889,00
10/06/2014;1.882,85
11/06/2014;1.883,20
12/06/2014;1.873,60
13/06/2014;1.881,80
16/06/2014;1.889,50
17/06/2014;1.902,30
18/06/2014;1.890,50
19/06/2014;1.882,40
20/06/2014;1.882,85
23/06/2014;1.883,00
24/06/2014;1.889,85
25/06/2014;1.881,25
26/06/2014;1.883,50
27/06/2014;1.879,83
30/06/2014;1.879,75
1/07/2014;1.860,99
2/07/2014;1.857,17
3/07/2014;1.843,85
4/07/2014;1.843,00
7/07/2014;1.854,90
8/07/2014;1.854,25
9/07/2014;1.859,10
10/07/2014;1.856,50
11/07/2014;1.857,83
14/07/2014;1.860,60
15/07/2014;1.868,60
16/07/2014;1.867,95
17/07/2014;1.875,15
18/07/2014;1.868,81
21/07/2014;1.857,09
22/07/2014;1.845,67
23/07/2014;1.846,99
24/07/2014;1.846,50
25/07/2014;1.849,78
28/07/2014;1.850,50
29/07/2014;1.859,13
30/07/2014;1.881,64
31/07/2014;1.876,74
1/08/2014;1.876,94
4/08/2014;1.882,96
5/08/2014;1.893,54
6/08/2014;1.886,14
7/08/2014;1.886,50
8/08/2014;1.890,24
11/08/2014;1.882,12
12/08/2014;1.876,35
13/08/2014;1.881,17
14/08/2014;1.882,25
15/08/2014;1.885,00
18/08/2014;1.885,15
19/08/2014;1.901,45
20/08/2014;1.917,03
21/08/2014;1.918,74
22/08/2014;1.924,57
25/08/2014;1.935,30
26/08/2014;1.932,50
27/08/2014;1.931,28
28/08/2014;1.927,03
29/08/2014;1.920,73
1/09/2014;1.921,25
2/09/2014;1.931,20
3/09/2014;1.923,65
4/09/2014;1.935,63
5/09/2014;1.938,00
8/09/2014;1.947,25
9/09/2014;1.968,00
10/09/2014;1.973,88
11/09/2014;1.982,25
