Fecha;ECO;PFAVAL;ISA;NUTRESA
26/03/2018;2775;1165;13080;25720
27/03/2018;2645;1155;13080;25700
28/03/2018;2615;1165;13320;25980
2/04/2018;2690;1165;13420;25920
3/04/2018;2730;1175;13660;25920
4/04/2018;2740;1190;13560;25840
5/04/2018;2740;1215;13880;26240
6/04/2018;2730;1230;13980;26280
9/04/2018;2745;1210;14320;26740
10/04/2018;2790;1230;14420;26660
11/04/2018;2980;1230;14120;26900
12/04/2018;2955;1230;14120;26480
13/04/2018;2835;1240;13860;26580
16/04/2018;2760;1225;13980;26640
17/04/2018;2870;1230;14380;26420
18/04/2018;2935;1240;14700;26560
19/04/2018;3030;1245;14840;26840
20/04/2018;3030;1245;14880;26520
23/04/2018;3085;1250;15100;26500
24/04/2018;3060;1240;14500;26820
25/04/2018;3045;1240;14900;26840
26/04/2018;3010;1235;14640;26760
27/04/2018;3070;1245;14400;26820
30/04/2018;3100;1235;14480;27200
2/05/2018;3105;1240;14320;27000
3/05/2018;3095;1220;13980;27000
4/05/2018;3095;1220;13800;27100
7/05/2018;3030;1215;13900;26780
8/05/2018;3085;1215;13760;26800
9/05/2018;3160;1225;13820;26800
10/05/2018;3100;1215;14080;26740
11/05/2018;3135;1205;13960;26620
15/05/2018;3290;1220;14460;26560
16/05/2018;3205;1215;14080;26480
17/05/2018;3170;1200;13800;26180
18/05/2018;3150;1215;13860;26060
21/05/2018;3125;1200;13900;26020
22/05/2018;3110;1220;14040;25860
23/05/2018;3025;1225;14260;25860
24/05/2018;3075;1220;14140;25980
25/05/2018;2955;1235;14100;25780
28/05/2018;2900;1230;13980;25940
29/05/2018;3030;1225;14060;26000
30/05/2018;3120;1235;14000;26060
31/05/2018;3090;1245;14160;25820
1/06/2018;3110;1250;14400;26500
5/06/2018;3080;1235;14380;26580
6/06/2018;3015;1245;14400;26760
7/06/2018;3060;1245;14560;26520
8/06/2018;3045;1240;14640;26520
12/06/2018;3005;1240;14760;26560
13/06/2018;3010;1230;14600;26480
14/06/2018;3005;1230;14420;26300
15/06/2018;2960;1240;14000;26120
18/06/2018;2985;1225;14120;26520
19/06/2018;2905;1215;13720;26500
20/06/2018;2875;1210;13640;26620
21/06/2018;2845;1205;13700;26920
22/06/2018;2880;1190;13660;26420
25/06/2018;2820;1190;13900;27000
26/06/2018;2885;1220;14260;27080
27/06/2018;2970;1235;14220;26800
28/06/2018;2985;1225;14400;26600
29/06/2018;3025;1230;14500;27000
3/07/2018;2930;1205;14020;26200
4/07/2018;2930;1220;14500;26800
5/07/2018;2895;1200;14500;27000
6/07/2018;2935;1200;14140;26620
9/07/2018;3000;1195;14160;26660
10/07/2018;3020;1190;14220;27100
