X1,X2,y
100.23207,-34.13147,4.00000
24.74792,18.22098,1.00000
-6.43090,37.92747,0.00000
21.19164,-7.09656,1.00000
6.65487,-10.56015,1.00000
-0.65684,88.13979,3.00000
5.74713,38.35311,0.00000
102.05665,-35.04141,4.00000
-13.29230,73.10912,3.00000
-18.77473,82.75078,3.00000
-19.66465,72.02084,3.00000
-16.64804,14.17529,2.00000
6.52937,5.90595,1.00000
25.61091,49.51755,0.00000
29.54998,-6.80867,1.00000
-8.30033,28.53330,2.00000
-10.24107,16.97073,2.00000
-18.61956,27.69590,2.00000
15.32689,5.90532,1.00000
10.07538,42.11675,0.00000
65.67559,1.96696,5.00000
48.10452,10.17877,5.00000
1.27947,74.10341,3.00000
67.40841,23.21876,5.00000
66.88190,12.39851,5.00000
-20.78481,23.78763,2.00000
54.91970,0.46839,5.00000
11.32444,-5.53675,1.00000
-15.37818,21.87075,2.00000
-26.25321,36.07603,2.00000
11.53696,39.02006,0.00000
8.46163,43.97741,0.00000
-13.46223,75.95215,3.00000
-11.31956,24.13992,2.00000
13.78612,36.18977,0.00000
49.43117,5.96676,5.00000
61.07232,6.08408,5.00000
-15.65510,69.14519,3.00000
36.59594,11.05733,1.00000
-20.20364,37.03564,2.00000
-3.00409,79.34106,3.00000
122.79307,-22.60027,4.00000
65.60656,-21.67767,5.00000
-8.49778,60.83041,3.00000
-23.33465,17.43759,2.00000
56.93578,19.25685,5.00000
-3.36580,57.18661,0.00000
52.39719,0.05453,5.00000
90.11911,-4.60412,4.00000
89.39854,-25.56143,4.00000
-4.55878,62.10419,3.00000
-13.17097,22.60224,2.00000
75.24610,-11.81785,5.00000
60.05870,25.69929,5.00000
-16.18715,35.69092,2.00000
80.55936,-8.60159,4.00000
13.47095,44.45849,0.00000
78.16740,-24.90416,4.00000
92.91968,-20.75498,4.00000
5.58793,32.06291,0.00000
97.00592,-28.18046,4.00000
28.81334,42.89010,0.00000
25.28057,3.70572,1.00000
-14.07527,64.58287,3.00000
63.34034,2.14329,5.00000
-27.84000,5.99257,2.00000
51.29379,-9.79261,5.00000
89.32878,-6.09976,4.00000
9.53037,8.73114,1.00000
54.19071,-11.70175,5.00000
-29.65758,37.19183,2.00000
21.81836,16.90671,1.00000
0.01625,83.23876,3.00000
52.09644,9.14123,5.00000
82.08444,-26.02020,4.00000
60.00339,13.92971,5.00000
-22.31833,72.73466,3.00000
-6.06668,49.14167,0.00000
93.85802,-39.74923,4.00000
13.65364,54.74828,0.00000
-10.67788,25.05537,2.00000
5.27503,25.59600,0.00000
20.49340,22.63724,1.00000
-3.86444,17.31500,2.00000
105.78732,-28.39019,4.00000
99.34170,-24.46874,4.00000
58.76860,10.94771,5.00000
15.68176,17.96631,1.00000
55.57656,7.52386,5.00000
20.99263,5.80201,1.00000
-8.70440,29.83733,2.00000
25.55135,35.08287,0.00000
5.75035,35.03705,0.00000
-2.23116,31.75118,2.00000
-8.78864,25.35844,2.00000
49.31802,-8.23253,5.00000
90.44722,-24.12261,4.00000
66.01249,17.10245,5.00000
92.22763,-33.62955,4.00000
-7.65834,65.19677,3.00000
-8.01149,55.80609,2.00000
1.24541,61.26511,0.00000
93.19292,-42.38174,4.00000
-28.39872,27.57406,2.00000
101.26626,-16.61305,4.00000
26.26217,19.69964,1.00000
80.88909,-24.40883,4.00000
7.32534,4.49381,1.00000
50.90570,9.92645,5.00000
24.69181,6.98384,1.00000
24.62398,2.69106,1.00000
46.92619,-0.00964,5.00000
7.95480,9.26284,1.00000
-22.92001,9.31222,2.00000
-21.96475,29.63253,2.00000
-6.50043,79.85120,3.00000
87.44337,-43.10163,4.00000
40.85849,-5.44694,5.00000
39.12370,13.12338,1.00000
7.34250,58.22048,0.00000
-24.80084,24.38585,2.00000
84.43741,-18.85542,4.00000
-4.50704,15.18526,2.00000
112.66826,-7.46291,4.00000
87.56953,-34.21035,4.00000
-9.45915,70.29224,3.00000
51.75425,17.75694,5.00000
-9.16092,41.25974,0.00000
26.26056,24.40460,1.00000
95.28123,-24.22747,4.00000
9.30566,45.24295,0.00000
-33.58623,89.08284,3.00000
-7.65200,33.49768,2.00000
-0.46968,70.36029,3.00000
-16.06113,30.11851,2.00000
62.71771,-5.25449,5.00000
58.17791,6.75419,5.00000
42.37839,-3.38254,5.00000
14.02529,49.80695,0.00000
-5.83630,32.18361,2.00000
-6.29776,80.18621,3.00000
109.57230,-24.32947,4.00000
55.37263,-11.44679,5.00000
-6.45593,79.92627,3.00000
-5.55749,70.61697,3.00000
-24.96016,28.99509,2.00000
34.73470,20.58466,0.00000
-0.65909,-9.41183,1.00000
21.95256,5.53618,1.00000
54.39496,12.87834,5.00000
-4.68670,30.93244,0.00000
-14.19859,88.67119,3.00000
0.73963,66.16889,3.00000
-4.64429,86.78568,3.00000
-31.26415,37.42272,2.00000
17.24257,13.47952,1.00000
-24.67313,26.01619,2.00000
-33.45315,46.89539,2.00000
6.44168,35.82356,0.00000
-13.15581,27.15488,2.00000
81.28981,-17.89229,4.00000
14.99532,37.66204,0.00000
-14.18257,35.86221,2.00000
-28.89259,81.27743,3.00000
-20.80546,32.54136,2.00000
97.96720,-35.96774,4.00000
-4.58173,26.84016,2.00000
16.01714,-0.93965,1.00000
62.32096,-0.86683,5.00000
-1.71300,35.43207,2.00000
