X1;X2;y
50,24;10,06;1
47,71;9,16;0
48,1;10,18;1
52,77;10,24;1
49,48;9,57;0
50,66;10,49;1
50,36;10,75;1
51,44;9,87;0
50,89;10,26;1
50,28;9,48;0
46,58;9,5;1
50,09;9,72;0
49,21;10,31;1
47,04;9,87;1
50;10,24;1
48,51;9,69;1
46,66;9,96;1
52,23;10,07;1
47,76;9,92;1
46,49;9,51;1
48,02;9,33;0
49,91;10,06;1
49,64;9,66;0
49,94;9,4;0
48,03;10,05;1
51,82;9,79;0
50,36;9,75;0
50,85;9,91;0
49,42;9,93;0
51,25;9,62;0
50,95;10,4;1
50,61;9,86;0
49,5;9,43;0
52,12;10,01;1
53,96;10,21;1
49,32;9,79;0
49,41;10,05;1
49,86;10,39;1
50,15;9,21;0
47,5;9,77;0
