"","x"
"1",-153.868805892878
"2",215.374249240645
"3",158.359367767105
"4",104.523483233289
"5",-37.5273694002721
"6",186.398721500064
"7",115.822471351653
"8",239.811404404452
"9",234.097254977288
"10",13.8833868349463
"11",106.566721593574
"12",285.496225113489
"13",225.678639047283
"14",227.49588900918
"15",174.04954419671
"16",396.69214916984
"17",369.602482045641
"18",396.735637351764
"19",301.592659410089
"20",458.478211808442
"21",381.697123319114
"22",561.860737950266
"23",353.64036494034
"24",518.984317688917
"25",594.681370871585
"26",616.060555122375
"27",588.098768501963
"28",619.202811118691
"29",559.120745526166
"30",676.324326573889
"31",556.147024356411
"32",497.774869568395
"33",785.049002193509
"34",487.807961050054
"35",770.957334643203
"36",712.793176018251
"37",754.485509276155
"38",922.031318393857
"39",665.314660160223
"40",803.949755234869
"41",692.674002164783
"42",733.684762226071
"43",704.965177589931
"44",751.989832522699
"45",799.847722062856
"46",884.364864901272
"47",999.366165085995
"48",913.337034924459
"49",1008.67673144245
"50",959.000884075057
"51",971.788552125285
"52",1105.65838781027
"53",1077.02184981355
"54",958.252451697333
"55",1121.50861164984
"56",1010.97186244504
"57",1203.94703127925
"58",1126.58286274907
"59",1076.87003620784
"60",1181.35164171931
"61",1295.47510399611
"62",1313.84667122707
"63",1197.72186517238
"64",1231.81692715038
"65",1407.24235841875
"66",1312.27175477408
"67",1421.0986294151
"68",1469.85605509846
"69",1459.91111507057
"70",1213.84059587729
"71",1408.58183345678
"72",1325.42257857091
"73",1688.87522573407
"74",1345.41910499113
"75",1449.45336322671
"76",1561.91998319684
"77",1377.04277949483
"78",1635.76359072295
"79",1482.22923766928
"80",1772.62963135332
"81",1496.26666133601
"82",1502.76722675043
"83",1768.01803324686
"84",1769.666690637
"85",1643.29958030718
"86",1715.07713944648
"87",1785.42696280511
"88",1645.04748945503
"89",1742.26642420661
"90",1871.80507349308
"91",1760.07907333183
"92",1815.69843109892
"93",1879.00302365922
"94",1851.3054825939
"95",1921.61243971223
"96",1928.95748430267
"97",1986.01500933669
"98",2151.12519069803
"99",2079.54937422987
"100",1958.35116239931
