Fecha;COLCAP
jun-17;1462,90
jul-17;1481,37
ago-17;1482,27
sep-17;1487,52
oct-17;1424,58
nov-17;1445,23
dic-17;1513,65
ene-18;1558,18
feb-18;1478,33
mar-18;1455,52
abr-18;1565,56
may-18;1546,71
jun-18;1577,01
jul-18;1526,60
ago-18;1542,77
sep-18;1506,07
oct-18;1392,18
nov-18;1379,24
dic-18;1325,93
ene-19;1447,01
feb-19;1508,27
mar-19;1587,74
abr-19;1573,64
may-19;1487,00
jun-19;1548,98
jul-19;1562,13
ago-19;1559,52
sep-19;1577,96
oct-19;1633,15
nov-19;1611,92
dic-19;1662,42
ene-20;1623,83
feb-20;1549,61
mar-20;1123,85
abr-20;1142,04
may-20;1095,84
jun-20;1111,80
jul-20;1134,34
ago-20;1216,03
sep-20;1171,92
oct-20;1136,75
nov-20;1258,00
dic-20;1437,89
ene-21;1348,12
feb-21;1359,48
mar-21;1316,81
abr-21;1250,65
may-21;1200,90
jun-21;1248,83
jul-21;1236,73
ago-21;1319,96
sep-21;1361,95
oct-21;1394,04
nov-21;1373,84
dic-21;1410,97
ene-22;1536,92
feb-22;1527,75
mar-22;1616,08
abr-22;1562,46
may-22;1511,39
