Fecha;ECO;PFBCOLOM;ISA
11/01/2008;1995;16800;7000
14/01/2008;1960;16380;6810
15/01/2008;1905;15880;6890
16/01/2008;1860;15980;6710
17/01/2008;1755;15900;6590
18/01/2008;1725;15340;6320
21/01/2008;1575;13980;5890
22/01/2008;1740;14600;6400
23/01/2008;1700;14900;6500
24/01/2008;1800;15440;6780
25/01/2008;1790;15820;6850
28/01/2008;1735;16080;6700
29/01/2008;1760;15900;6750
30/01/2008;1750;15840;6700
31/01/2008;1765;15720;6840
1/02/2008;1760;16200;6820
4/02/2008;1805;16160;6900
5/02/2008;1760;15700;6760
6/02/2008;1720;15120;6710
7/02/2008;1750;15000;6600
8/02/2008;1770;15280;6780
11/02/2008;1820;15240;6820
12/02/2008;1815;15400;6810
13/02/2008;1810;15420;6960
14/02/2008;1880;15800;6980
15/02/2008;1900;15740;7000
18/02/2008;1950;15900;7050
19/02/2008;1950;16100;7050
20/02/2008;1955;16000;7010
21/02/2008;1945;16180;7060
22/02/2008;1950;15980;7090
25/02/2008;1960;15600;7060
26/02/2008;1970;15700;7100
27/02/2008;1985;15400;7100
28/02/2008;1975;15300;7090
29/02/2008;2010;15220;7000
3/03/2008;2000;15300;6990
4/03/2008;1910;14900;6740
5/03/2008;1955;15580;6920
6/03/2008;1950;15600;6850
7/03/2008;1985;15800;6900
10/03/2008;1990;15840;7050
11/03/2008;2010;16220;7050
12/03/2008;2025;16180;7060
13/03/2008;2055;16600;7030
14/03/2008;2095;16420;7100
17/03/2008;2060;16000;7010
18/03/2008;2080;16300;7050
19/03/2008;2065;15900;7100
25/03/2008;2045;16140;7050
26/03/2008;2050;15860;7100
27/03/2008;2080;15800;7100
28/03/2008;2090;16180;7100
31/03/2008;2090;16000;7040
1/04/2008;2095;16460;7190
2/04/2008;2100;16440;7240
3/04/2008;2150;16520;7230
4/04/2008;2210;16580;7260
7/04/2008;2215;16680;7360
8/04/2008;2205;17000;7390
9/04/2008;2225;17000;7490
10/04/2008;2220;16900;7310
11/04/2008;2190;16940;7260
14/04/2008;2195;16920;7290
15/04/2008;2245;17100;7300
16/04/2008;2275;17480;7340
17/04/2008;2280;17460;7340
18/04/2008;2330;17460;7530
21/04/2008;2370;17580;7440
22/04/2008;2420;17200;7430
23/04/2008;2385;16880;7400
24/04/2008;2375;16800;7420
25/04/2008;2400;17100;7450
28/04/2008;2455;17000;7590
29/04/2008;2565;17020;7510
30/04/2008;2600;17360;7790
2/05/2008;2650;18520;7880
6/05/2008;2895;17740;7940
7/05/2008;2730;18220;7850
8/05/2008;2750;17920;7790
9/05/2008;2835;17300;7800
12/05/2008;2815;17420;7810
13/05/2008;2800;17680;7810
14/05/2008;2770;18000;7890
15/05/2008;2730;18000;7840
16/05/2008;2775;17720;7800
19/05/2008;2770;17600;7800
20/05/2008;2780;17360;7850
21/05/2008;2885;17000;7770
22/05/2008;2850;16760;7830
23/05/2008;2845;16200;7780
27/05/2008;2790;16080;7790
28/05/2008;2810;16460;7740
29/05/2008;2790;16500;7790
30/05/2008;2810;16600;7900
3/06/2008;2760;16120;7720
4/06/2008;2730;16500;7790
5/06/2008;2755;16280;7760
6/06/2008;2845;16000;7700
9/06/2008;2820;15520;7670
10/06/2008;2770;15100;7650
11/06/2008;2785;14880;7630
12/06/2008;2775;14880;7630
13/06/2008;2770;14980;7670
16/06/2008;2760;14960;7790
17/06/2008;2730;14560;7770
