Fecha;Precio
1/04/2019;2.985,00
1/05/2019;2.765,00
1/06/2019;2.920,00
1/07/2019;2.940,00
1/08/2019;2.740,00
1/09/2019;2.950,00
1/10/2019;3.040,00
1/11/2019;3.290,00
1/12/2019;3.315,00
1/01/2020;3.180,00
1/02/2020;3.105,00
1/03/2020;1.900,00
1/04/2020;2.090,00
1/05/2020;1.990,00
1/06/2020;2.075,00
1/07/2020;2.080,00
1/08/2020;2.190,00
1/09/2020;1.895,00
1/10/2020;1.791,00
1/11/2020;2.081,00
1/12/2020;2.245,00
1/01/2021;2.030,00
1/02/2021;2.250,00
1/03/2021;2.366,00
1/04/2021;2.210,00
1/05/2021;2.190,00
1/06/2021;2.722,00
1/07/2021;2.633,00
1/08/2021;2.643,00
1/09/2021;2.734,00
1/10/2021;2.847,00
1/11/2021;2.600,00
1/12/2021;2.690,00
1/01/2022;2.905,00
1/02/2022;3.263,00
1/03/2022;3.538,00
1/04/2022;3.206,00
1/05/2022;3.120,00
1/06/2022;2.253,00
1/07/2022;2.280,00
1/08/2022;2.257,00
1/09/2022;2.074,00
1/10/2022;2.450,00
1/11/2022;2.290,00
1/12/2022;2.420,00
1/01/2023;2.669,00
1/02/2023;2.698,00
1/03/2023;2.450,00
1/04/2023;2.288,00
1/05/2023;2.036,00
1/06/2023;2.140,00
1/07/2023;2.292,00
1/08/2023;2.357,00
1/09/2023;2.365,00
1/10/2023;2.423,00
1/11/2023;2.520,00
1/12/2023;2.340,00
1/01/2024;2.335,00
1/02/2024;2.290,00
1/03/2024;2.075,00
1/04/2024;2.290,00
