Fecha;ECO;PFAVAL;ISA;NUTRESA;COLCAP
mar-15;1975;1165;7430;22900;1304,62
abr-15;2030;1210;8000;24760;1396,35
may-15;1815;1280;8190;22500;1306,62
jun-15;1730;1275;7350;22900;1331,35
jul-15;1610;1240;7080;22120;1317,24
ago-15;1595;1180;6640;19900;1246,59
sep-15;1330;1175;7150;20780;1218,82
oct-15;1350;1160;6940;21820;1218,13
nov-15;1305;1090;6800;19820;1114,36
dic-15;1110;1090;7380;22620;1153,71
ene-16;1030;1055;7360;23540;1175,09
feb-16;1140;1120;7750;24260;1244,17
mar-16;1310;1170;8650;25500;1336,27
abr-16;1415;1190;8700;26000;1342,42
may-16;1340;1135;8800;25500;1292,51
jun-16;1395;1180;8940;25100;1313,18
jul-16;1300;1170;9090;25220;1308,22
ago-16;1320;1250;9900;26120;1380,18
sep-16;1250;1260;9750;25340;1338,83
oct-16;1310;1240;9990;25180;1365,53
nov-16;1320;1165;9900;22860;1286,07
dic-16;1380;1215;9980;24900;1351,68
ene-17;1375;1195;10560;24060;1357,47
feb-17;1320;1135;11200;23600;1326,31
mar-17;1350;1170;11600;24380;1365,61
abr-17;1360;1165;11660;24420;1371,54
may-17;1335;1215;14100;25840;1439,48
jun-17;1380;1255;13340;26400;1462,9
jul-17;1395;1320;13680;26700;1481,37
ago-17;1370;1320;13360;27140;1482,27
sep-17;1400;1330;13680;26840;1487,52
oct-17;1665;1265;13320;27020;1424,58
nov-17;1750;1235;13800;27460;1445,23
dic-17;2210;1290;14200;27820;1513,65
ene-18;2660;1275;14300;27040;1558,18
feb-18;2510;1240;13700;27000;1478,33
mar-18;2615;1165;13320;25980;1455,52
abr-18;3100;1235;14480;27200;1565,56
may-18;3090;1245;14160;25820;1546,71
jun-18;3025;1230;14500;27000;1577,01
jul-18;3070;1145;14200;26940;1526,6
ago-18;3420;1200;13520;26680;1542,77
sep-18;4030;1165;13380;24200;1506,07
oct-18;3740;1130;11960;22300;1392,18
nov-18;3105;1035;12940;24300;1379,24
dic-18;2645;999;13980;23500;1325,93
ene-19;2920;1070;13920;26540;1447,01
feb-19;3120;1175;13980;26100;1508,27
mar-19;3415;1235;15960;25780;1587,74
abr-19;2985;1245;15820;26800;1573,64
may-19;2765;1175;16200;24880;1487
jun-19;2920;1285;17860;25020;1548,98
jul-19;2940;1265;17800;25120;1562,13
ago-19;2740;1285;18180;25840;1559,52
sep-19;2950;1300;18240;25340;1577,96
oct-19;3040;1385;19500;25640;1633,15
nov-19;3290;1415;18980;25900;1611,92
dic-19;3315;1460;19600;25400;1662,42
ene-20;3180;1450;18800;24760;1623,83
feb-20;3105;1450;18600;23420;1549,61
mar-20;1900;897;15480;19100;1129,18
