;2017;2018;2019;2020;2021;2022
Efectivo y equivalentes al efectivo;34%;42%;24%;33%;27%;32%
Cuentas por cobrar corrientes;9%;9%;2%;2%;1%;2%
Inventarios corrientes;23%;16%;23%;27%;32%;36%
Activos corrientes totales;68%;67%;49%;62%;61%;70%
Propiedades, planta y equipo;32%;33%;50%;35%;36%;27%
Total de activos no corrientes;32%;33%;51%;38%;39%;30%
Total de activos;100%;100%;100%;100%;100%;100%
Cuentas por pagar corrientes;64%;34%;24%;10%;16%;13%
Pasivos corrientes totales;66%;40%;39%;17%;24%;18%
Cuentas pagar no corrientes;31%;0%;22%;51%;32%;43%
Otros pasivos financieros no corrientes;0%;58%;3%;0%;2%;0%
Total de pasivos no corrientes;31%;58%;25%;56%;42%;49%
Total pasivos;97%;98%;65%;73%;66%;67%
Prima de emisión;12%;12%;44%;29%;25%;19%
Ganancias acumuladas;-10%;-12%;-10%;-3%;8%;13%
Patrimonio total;3%;2%;35%;27%;34%;33%
