Fecha;TFIT10040522
2/10/2017;6,05
3/10/2017;6,05
4/10/2017;5,96
5/10/2017;6,00
6/10/2017;5,95
9/10/2017;5,93
10/10/2017;5,91
1/03/2018;5,95
2/03/2018;5,92
5/03/2018;5,89
6/03/2018;5,89
7/03/2018;5,93
8/03/2018;5,88
9/03/2018;5,86
12/03/2018;5,83
13/03/2018;5,80
14/03/2018;5,80
15/03/2018;5,75
16/03/2018;5,74
20/03/2018;5,69
21/03/2018;5,70
22/03/2018;5,75
23/03/2018;5,75
26/03/2018;5,66
27/03/2018;5,65
28/03/2018;5,62
3/04/2018;5,65
4/04/2018;5,63
6/04/2018;5,52
9/04/2018;5,50
10/04/2018;5,45
11/04/2018;5,45
12/04/2018;5,43
13/04/2018;5,38
16/04/2018;5,35
17/04/2018;5,35
18/04/2018;5,37
19/04/2018;5,41
20/04/2018;5,39
23/04/2018;5,43
24/04/2018;5,43
25/04/2018;5,45
26/04/2018;5,44
27/04/2018;5,43
30/04/2018;5,42
2/05/2018;5,43
3/05/2018;5,44
4/05/2018;5,46
7/05/2018;5,50
8/05/2018;5,57
9/05/2018;5,57
10/05/2018;5,54
11/05/2018;5,55
15/05/2018;5,59
16/05/2018;5,59
17/05/2018;5,64
18/05/2018;5,73
21/05/2018;5,70
22/05/2018;5,67
23/05/2018;5,68
24/05/2018;5,64
25/05/2018;5,67
28/05/2018;5,62
29/05/2018;5,67
30/05/2018;5,69
31/05/2018;5,70
1/06/2018;5,66
5/06/2018;5,64
6/06/2018;5,64
7/06/2018;5,67
8/06/2018;5,67
12/06/2018;5,72
13/06/2018;5,72
14/06/2018;5,74
15/06/2018;5,75
19/06/2018;5,76
20/06/2018;5,80
21/06/2018;5,83
22/06/2018;5,79
26/06/2018;5,78
27/06/2018;5,80
28/06/2018;5,78
29/06/2018;5,76
3/07/2018;5,72
4/07/2018;5,72
5/07/2018;5,71
9/07/2018;5,79
10/07/2018;5,77
11/07/2018;5,82
12/07/2018;5,81
13/07/2018;5,75
16/07/2018;5,79
17/07/2018;5,77
18/07/2018;5,77
19/07/2018;5,77
23/07/2018;5,77
24/07/2018;5,77
25/07/2018;5,75
26/07/2018;5,75
27/07/2018;5,73
30/07/2018;5,74
1/08/2018;5,81
2/08/2018;5,81
3/08/2018;5,77
6/08/2018;5,74
8/08/2018;5,73
9/08/2018;5,72
10/08/2018;5,74
13/08/2018;5,79
14/08/2018;5,76
15/08/2018;5,78
16/08/2018;5,77
17/08/2018;5,76
21/08/2018;5,73
22/08/2018;5,72
23/08/2018;5,73
24/08/2018;5,70
27/08/2018;5,68
28/08/2018;5,72
29/08/2018;5,73
30/08/2018;5,74
31/08/2018;5,75
3/09/2018;5,74
4/09/2018;5,76
5/09/2018;5,76
6/09/2018;5,80
7/09/2018;5,80
10/09/2018;5,85
11/09/2018;5,84
12/09/2018;5,81
13/09/2018;5,79
14/09/2018;5,81
17/09/2018;5,77
18/09/2018;5,83
19/09/2018;5,83
20/09/2018;5,80
21/09/2018;5,78
24/09/2018;5,78
25/09/2018;5,79
26/09/2018;5,76
