"","SALESORG","NETAMOUNT"
"5","EMEA",62723.5
"7","EMEA",152238.625
"9","EMEA",111827.625
"17","EMEA",35604.625
"23","EMEA",6081.25
"27","EMEA",75178.25
"31","EMEA",66519.25
"37","EMEA",84664.125
"41","EMEA",38183.25
"43","EMEA",27539.75
"49","EMEA",52598.875
"69","EMEA",53463.375
"75","EMEA",101241.875
"83","EMEA",11365.375
"85","EMEA",76615.875
"93","EMEA",37187.5
"97","EMEA",85147.125
"101","EMEA",47101.25
"103","EMEA",6292.125
"105","EMEA",15321.25
"107","EMEA",38757.25
"111","EMEA",56954.625
"117","EMEA",3843
"125","EMEA",62377.875
"127","EMEA",169738.625
"131","EMEA",96930.75
"133","EMEA",15306.375
"137","EMEA",41839
"153","EMEA",56378.875
"155","EMEA",108554.25
"157","EMEA",95158
"159","EMEA",70056
"161","EMEA",47659.5
"167","EMEA",67431.875
"169","EMEA",110444.25
"171","EMEA",52321.5
"175","EMEA",104880.125
"181","EMEA",91682.5
"183","EMEA",33256.125
"185","EMEA",48998.25
"199","EMEA",60431.875
"203","EMEA",71834.875
"207","EMEA",117535.25
"209","EMEA",64645
"213","EMEA",45927.875
"215","EMEA",68939.5
"225","EMEA",22420.125
"227","EMEA",8787.625
"229","EMEA",54068.875
"233","EMEA",37948.75
"241","EMEA",45497.375
"243","EMEA",168065.625
"249","EMEA",19580.75
"251","EMEA",83986.875
"253","EMEA",58632.875
"255","EMEA",1396.5
"257","EMEA",137603.375
"259","EMEA",14349.125
"261","EMEA",88396
"263","EMEA",94195.5
"271","EMEA",118874
"279","EMEA",20260.625
"281","EMEA",62489
"289","EMEA",25013.625
"291","EMEA",114093.875
"295","EMEA",58417.625
"297","EMEA",84805.875
"299","EMEA",11676.875
"303","EMEA",54418.875
"307","EMEA",81046.875
"313","EMEA",48181.875
"315","EMEA",34916.875
"317","EMEA",2520
"321","EMEA",32816.875
"323","EMEA",37859.5
"325","EMEA",12054.875
"329","EMEA",9639
