;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
ene-00;371375,00;130,12;658;517,00;1923,57;1916,00
feb-00;354297,00;124,72;740;642,00;1950,64;1878,50
mar-00;360016,00;119,51;592;404,00;1956,25;1875,00
abr-00;347538,00;112,67;1055;731,00;1986,77;1832,00
may-00;353750,00;110,31;1114;615,00;2055,69;1971,50
jun-00;341688,00;100,30;1092;869,00;2120,17;2053,50
jul-00;345190,00;101,67;811;721,00;2161,34;2014,50
ago-00;330113,00;91,87;436;938,00;2187,38;1970,50
sep-00;330000,00;89,97;501;674,00;2213,76;1954,00
oct-00;330000,00;90,25;940;831,00;2176,61;1815,00
nov-00;330000,00;84,01;1366;1200,00;2136,63;1889,00
dic-00;330000,00;75,81;1314;1064,00;2186,21;2107,00
ene-01;321671,00;75,33;1231;651,00;2241,40;2099,00
feb-01;291527,00;76,70;541;838,00;2243,42;2090,00
mar-01;297145,00;76,94;482;610,00;2278,78;2028,00
abr-01;313350,00;78,25;978;748,00;2323,10;2081,00
may-01;339956,00;80,92;869;744,00;2346,93;1964,00
jun-01;294696,00;74,38;718;747,00;2305,66;1954,00
jul-01;280161,00;69,70;654;662,00;2304,28;2007,50
ago-01;283710,00;73,50;660;658,00;2288,90;2100,50
sep-01;287563,00;68,80;766;721,00;2328,23;2127,50
oct-01;260782,00;63,85;1243;1127,00;2320,65;2077,00
nov-01;274963,00;65,72;1537;1254,00;2310,47;2061,00
dic-01;269964,00;62,37;1257;1217,00;2306,90;2029,50
ene-02;276480,00;63,46;824;712,00;2274,96;1947,50
feb-02;270960,00;65,64;808;874,00;2286,70;2001,00
mar-02;296859,00;71,16;778;787,00;2282,33;1981,50
abr-02;307892,00;70,17;942;757,00;2263,11;2052,00
may-02;284464,00;63,44;1112;838,00;2310,24;2165,00
jun-02;277875,00;60,86;1052;816,00;2364,25;2383,00
jul-02;264823,00;59,75;868;707,00;2506,72;2575,50
ago-02;260185,00;58,92;751;814,00;2647,22;2651,50
sep-02;302300,00;62,49;778;726,00;2751,23;2847,00
oct-02;311722,00;66,54;1064;830,00;2827,86;2758,00
nov-02;322517,00;72,83;1380;1144,00;2726,66;2789,50
dic-02;285694,00;67,92;1257;1268,00;2814,89;3009,50
ene-03;323837,50;69,68;924;755,00;2913,00;3174,50
feb-03;320897,32;69,60;788;894,00;2951,86;3199,00
mar-03;299592,74;61,82;644;724,00;2959,01;3233,00
abr-03;312583,33;66,12;1078;835,00;2926,62;3211,50
may-03;314217,74;67,56;972;759,00;2858,94;3356,50
jun-03;290500,00;65,01;1077;914,00;2826,95;3243,00
jul-03;319354,84;67,84;1072;909,00;2858,82;3239,00
ago-03;300725,81;68,65;661;722,00;2867,29;3105,50
sep-03;308633,33;68,37;795;746,00;2840,08;3381,00
oct-03;296229,84;66,59;1137;887,00;2876,20;3331,50
nov-03;298533,33;67,04;1176;991,00;2844,55;3399,50
dic-03;304540,32;69,38;1244;1154,00;2807,20;3499,50
ene-04;334391,13;76,61;1171;897,00;2749,14;3415,50
feb-04;334857,76;79,34;770;973,00;2717,94;3349,50
mar-04;342669,35;80,12;811;885,00;2670,80;3294,50
abr-04;327254,17;73,45;738;806,00;2639,60;3184,50
may-04;346229,84;80,62;1091;789,00;2719,43;3336,00
jun-04;379407,67;85,62;954;821,00;2716,56;3279,00
jul-04;320314,52;78,27;774;832,00;2653,32;3141,50
ago-04;317887,10;78,85;722;735,00;2598,59;3091,50
sep-04;351520,83;85,71;465;449,00;2552,78;3262,00
oct-04;351024,19;85,52;1077;888,00;2580,70;3281,00
nov-04;388120,83;95,62;1337;954,00;2530,19;3294,50
dic-04;422786,29;106,48;1330;1233,00;2411,37;3189,50
ene-05;417661,29;110,03;1100;1092,00;2362,96;3081,00
feb-05;484334,82;124,34;1023;1167,00;2340,49;3084,00
mar-05;558592,74;137,10;726;958,00;2353,71;3074,00
abr-05;518929,17;129,74;873;859,00;2350,01;3023,00
may-05;503161,29;128,36;955;815,00;2339,22;2877,00
jun-05;464250,00;122,47;948;839,00;2331,79;2817,00
jul-05;414729,84;112,47;738;766,00;2323,38;2801,00
ago-05;410842,74;111,21;646;759,00;2306,19;2842,50
sep-05;383387,50;101,31;676;701,00;2294,52;2752,00
oct-05;430415,32;108,77;1131;751,00;2292,55;2738,00
nov-05;450658,33;111,66;1237;987,00;2279,85;2681,50
dic-05;447875,00;106,54;1066;1177,00;2278,91;2707,50
ene-06;525205,65;129,64;1102;827,00;2273,66;2755,50
feb-06;476200,89;123,17;888;943,00;2256,24;2677,00
mar-06;445254,03;111,75;713;883,00;2262,36;2776,00
abr-06;467945,83;119,87;779;623,00;2334,29;3006,00
may-06;457887,10;113,03;1087;874,00;2417,99;3189,50
jun-06;449379,17;106,84;1174;881,00;2542,24;3291,50
jul-06;451754,03;109,45;821;905,00;2511,74;3099,50
ago-06;461024,19;116,22;1142;938,00;2389,65;3069,00
sep-06;441820,83;112,21;813;964,00;2398,88;3039,00
oct-06;429120,97;113,73;1024;964,00;2364,29;2942,00
nov-06;475658,33;126,22;1242;929,00;2290,46;3041,50
dic-06;509866,94;132,85;1294;1216,00;2261,34;2955,00
ene-07;477403,23;127,54;963;874,00;2237,06;2936,00
feb-07;471285,71;125,54;1001;990,00;2227,63;2952,00
mar-07;440387,10;119,92;776;906,00;2201,39;2942,00
abr-07;424708,33;117,50;769;753,00;2144,60;2870,00
may-07;407157,26;116,14;994;786,00;2007,91;2549,00
jun-07;425562,50;122,35;1219;893,00;1923,76;2675,00
jul-07;417870,97;122,32;995;947,00;1950,87;2675,00
ago-07;449963,71;126,68;990;977,00;2058,28;2949,00
sep-07;483641,67;131,51;897;942,00;2117,05;2889,50
oct-07;496407,26;137,71;1129;844,00;2003,26;2872,00
nov-07;489550,00;133,81;1522;1051,00;2047,72;3004,50
dic-07;505612,90;139,87;1363;1338,00;2014,20;2944,00
ene-08;501520,16;143,37;1404;1029,00;1980,59;2881,50
feb-08;544293,10;161,30;1090;1194,00;1903,27;2792,50
mar-08;494048,39;151,47;872;904,00;1846,90;2887,50
abr-08;439908,33;142,41;886;914,00;1796,13;2750,00
may-08;435076,61;143,51;820;864,00;1778,01;2716,50
jun-08;455125,00;150,58;1046;946,00;1712,28;3014,50
jul-08;463806,45;151,58;891;892,00;1783,09;2800,50
ago-08;499935,48;154,23;715;642,00;1844,29;2840,50
sep-08;542379,17;150,20;777;939,00;2066,04;3087,50
oct-08;515869,35;133,37;939;839,00;2289,17;3037,00
nov-08;523920,83;137,49;933;915,00;2329,16;2945,00
dic-08;509229,84;133,40;1105;1007,00;2252,72;3144,00
ene-09;570741,94;148,88;876;868,00;2252,98;3114,50
feb-09;638629,46;149,58;868;943,00;2513,74;3235,50
mar-09;660395,16;162,00;765;817,00;2477,21;3376,50
abr-09;765395,83;190,94;345;550,00;2379,36;3028,00
may-09;835197,58;225,58;702;552,00;2229,95;3031,00
jun-09;666450,00;195,27;685;642,00;2090,04;3008,00
jul-09;642282,26;192,11;582;608,00;2052,68;2904,00
ago-09;672516,13;181,61;397;474,00;2018,97;2951,00
sep-09;613787,50;169,90;467;501,00;1980,77;2825,50
oct-09;565701,61;175,16;544;535,00;1904,86;2935,00
nov-09;591575,00;180,08;760;616,00;1973,57;3007,00
dic-09;673116,94;199,38;821;788,00;2017,05;2925,00
ene-10;716729,84;214,55;515;541,20;1978,19;2752,00
feb-10;678531,25;208,03;648;590,00;1952,89;2622,50
mar-10;688281,45;206,37;629;576,00;1909,10;2595,00
abr-10;660179,17;195,18;647;588,00;1940,36;2602,00
may-10;676951,61;197,76;822;576,00;1984,36;2426,00
jun-10;750262,50;229,06;780;648,00;1925,90;2345,50
jul-10;810629,03;230,88;787;612,00;1874,52;2407,50
ago-10;834798,39;241,77;615;599,00;1819,06;2316,50
sep-10;801608,33;239,26;530;530,00;1805,60;2452,50
oct-10;751221,77;236,50;807;632,00;1808,46;2563,00
nov-10;790295,83;239,59;979;826,70;1863,67;2521,00
dic-10;896588,71;256,52;1164;1105,30;1925,86;2562,00
ene-11;948322,58;280,05;908;847,70;1866,64;2562,00
feb-11;1024314,29;289,49;764;651,20;1882,61;2630,00
mar-11;1079008,06;300,93;779;923,60;1884,38;2649,00
abr-11;1070911,50;314,26;523;580,00;1812,77;2616,00
may-11;1021802,90;301,48;673;593,00;1801,65;2594,00
jun-11;965116,67;290,19;471;576,00;1782,54;2564,00
jul-11;931451,61;286,46;530;474,00;1761,75;2558,00
ago-11;963077,42;288,43;466;383,60;1785,04;2555,00
sep-11;975683,33;283,51;459;471,00;1836,15;2583,00
oct-11;909088,71;256,86;656;602,70;1910,38;2584,00
nov-11;925595,00;259,74;845;773,70;1918,21;2622,00
dic-11;897911,29;254,41;735;857,05;1934,08;2505,00
ene-12;874862,90;258,70;535;541,57;1852,12;2366,00
feb-12;826219,83;248,09;571;559,65;1783,56;2353,00
mar-12;727564,52;224,69;576;604,00;1766,34;2384,00
abr-12;703033,33;215,85;580;493,70;1775,06;2333,00
may-12;670334,68;208,08;689;589,81;1793,28;2258,00
jun-12;592504,17;184,45;714;613,00;1792,63;2255,00
jul-12;648096,77;203,75;668;552,17;1784,43;2203,00
ago-12;611620,97;189,27;565;583,00;1806,34;2294,00
sep-12;623425,00;191,54;519;527,00;1803,18;2313,00
oct-12;589463,71;182,73;653;582,07;1804,97;2373,00
nov-12;538683,33;172,55;770;735,84;1820,29;2359,00
dic-12;521262,10;167,67;904;786,64;1793,94;2330,00
ene-13;527979,84;170,64;877;743,10;1770,01;2411,00
feb-13;504406,25;164,74;625;718,54;1791,48;2367,00
mar-13;512520,16;163,46;617;676,60;1809,89;2332,00
