Fecha;PFBCOLOM;GRUPOSURA;CELSIA
27/03/2018;29780;36580;4475
28/03/2018;29280;37280;4515
2/04/2018;30160;37640;4535
3/04/2018;31300;38500;4570
4/04/2018;31900;37820;4670
5/04/2018;32600;38040;4690
6/04/2018;32900;38000;4690
9/04/2018;33100;38000;4700
10/04/2018;34120;37980;4695
11/04/2018;34300;38000;4685
12/04/2018;34000;38000;4680
13/04/2018;33520;38000;4605
16/04/2018;33400;38000;4600
17/04/2018;34080;38100;4620
18/04/2018;33940;38340;4615
19/04/2018;34300;38360;4615
20/04/2018;33760;38400;4600
23/04/2018;34400;38680;4585
24/04/2018;33400;38720;4580
25/04/2018;33060;38680;4600
26/04/2018;33160;38760;4580
27/04/2018;33700;38980;4635
30/04/2018;33300;38980;4630
2/05/2018;33460;38340;4650
3/05/2018;34000;37820;4600
4/05/2018;33520;37800;4580
7/05/2018;33860;37900;4500
8/05/2018;34320;37600;4500
9/05/2018;34220;37940;4585
10/05/2018;33820;37760;4625
11/05/2018;33620;37700;4620
15/05/2018;34360;38000;4610
16/05/2018;33500;37780;4580
17/05/2018;33000;37040;4590
18/05/2018;32800;37200;4525
21/05/2018;32620;36700;4570
22/05/2018;32920;37040;4515
23/05/2018;32660;37060;4575
24/05/2018;32420;37000;4600
25/05/2018;33200;37020;4535
28/05/2018;33680;36660;4550
29/05/2018;33680;36800;4585
30/05/2018;33400;37180;4620
31/05/2018;33500;37120;4600
1/06/2018;33900;37580;4630
5/06/2018;33900;37620;4630
6/06/2018;33620;37520;4675
7/06/2018;33100;37400;4695
8/06/2018;33120;37200;4685
12/06/2018;33780;37040;4675
13/06/2018;34180;37200;4600
14/06/2018;33760;37120;4655
15/06/2018;33980;37380;4625
18/06/2018;34660;37360;4670
19/06/2018;34300;36740;4565
20/06/2018;34200;36740;4650
21/06/2018;34500;36600;4630
22/06/2018;34100;36500;4640
25/06/2018;34000;36280;4640
26/06/2018;34480;36540;4650
27/06/2018;34480;36600;4635
28/06/2018;35200;36840;4640
29/06/2018;35720;37600;4645
3/07/2018;35980;37360;4650
4/07/2018;36200;37640;4645
5/07/2018;35920;37680;4640
6/07/2018;36020;37300;4585
9/07/2018;35520;36760;4625
10/07/2018;35680;36880;4565
11/07/2018;35580;36880;4540
12/07/2018;35400;36860;4535
13/07/2018;35100;36900;4530
16/07/2018;35260;37040;4590
17/07/2018;34880;37380;4580
18/07/2018;34800;37300;4535
19/07/2018;34540;37280;4560
23/07/2018;34680;36880;4530
24/07/2018;34580;36800;4535
25/07/2018;33700;36080;4510
26/07/2018;34020;36160;4510
27/07/2018;34020;36420;4510
30/07/2018;33940;37120;4525
31/07/2018;33200;36100;4490
1/08/2018;33960;36180;4505
2/08/2018;33140;35920;4480
3/08/2018;34020;36300;4485
8/08/2018;33800;36500;4500
9/08/2018;33580;37100;4505
10/08/2018;32920;37000;4500
13/08/2018;33180;36520;4480
14/08/2018;33120;36760;4500
15/08/2018;33240;36500;4500
16/08/2018;33660;36620;4505
17/08/2018;33800;36400;4500
21/08/2018;33440;36600;4510
22/08/2018;33100;36900;4515
23/08/2018;33000;37000;4505
24/08/2018;33020;37060;4500
27/08/2018;33640;36700;4510
28/08/2018;33720;37000;4520
29/08/2018;33160;36020;4520
30/08/2018;32920;36000;4525
31/08/2018;33200;36000;4525
3/09/2018;33220;35900;4495
4/09/2018;32900;35140;4515
5/09/2018;32520;34040;4495
6/09/2018;32100;33360;4500
7/09/2018;31600;33420;4480
10/09/2018;31140;33280;4480
11/09/2018;30460;33900;4495
12/09/2018;31220;34400;4480
13/09/2018;30500;34600;4480
14/09/2018;30400;34220;4430
17/09/2018;30580;34700;4430
18/09/2018;30820;34600;4400
19/09/2018;31600;34600;4400
20/09/2018;32020;33500;4405
21/09/2018;31200;33580;4560
24/09/2018;31500;33500;4460
25/09/2018;31480;33200;4435
26/09/2018;30800;33480;4500
27/09/2018;31120;33860;4410
28/09/2018;31300;34760;4340
1/10/2018;31840;34500;4345
2/10/2018;32100;34460;4345
3/10/2018;32300;34300;4370
4/10/2018;32160;34180;4400
5/10/2018;31900;33340;4390
9/10/2018;31780;33700;4385
10/10/2018;31280;33700;4310
11/10/2018;30840;33360;4315
12/10/2018;31000;33040;4340
16/10/2018;31980;33900;4110
17/10/2018;31280;34020;4215
18/10/2018;30640;33200;4220
19/10/2018;30240;33020;4210
22/10/2018;30220;32900;4265
23/10/2018;30240;33200;4240
24/10/2018;30020;32460;4110
25/10/2018;29380;31800;4000
26/10/2018;29580;31760;4020
29/10/2018;29800;32000;4020
30/10/2018;29620;31480;4100
31/10/2018;30100;31400;3980
1/11/2018;30980;31000;4040
2/11/2018;31000;31200;4145
6/11/2018;31000;31300;4145
7/11/2018;32000;31600;4145
8/11/2018;32200;31600;4195
9/11/2018;32100;31560;4390
13/11/2018;31300;31400;4200
14/11/2018;32000;31600;4270
15/11/2018;33600;32440;4250
16/11/2018;33940;32800;4165
19/11/2018;33400;33000;4100
20/11/2018;33060;32280;4020
21/11/2018;33300;32440;4000
22/11/2018;33320;32500;4000
23/11/2018;32800;32420;3990
26/11/2018;33880;32500;3930
27/11/2018;33300;31720;3930
28/11/2018;33180;32140;4000
29/11/2018;33200;32300;3935
30/11/2018;32220;32300;4000
3/12/2018;33400;32660;4075
4/12/2018;33400;32820;4000
5/12/2018;33760;32860;4000
6/12/2018;32980;32640;3985
7/12/2018;32420;32780;3995
10/12/2018;32580;32620;3980
11/12/2018;32780;32640;3970
12/12/2018;32900;33200;3950
13/12/2018;32420;32880;3930
14/12/2018;32160;32340;3895
17/12/2018;31500;32200;3850
18/12/2018;31800;32180;3835
19/12/2018;31280;32180;3855
20/12/2018;30420;31800;3875
21/12/2018;30960;31640;3900
24/12/2018;30020;32280;3900
26/12/2018;30900;32000;4000
27/12/2018;31200;32180;4000
28/12/2018;31400;32120;4000
3/01/2019;32000;32180;3900
4/01/2019;32700;32100;3920
8/01/2019;32780;32300;3990
9/01/2019;33720;32280;3920
10/01/2019;33940;32260;3945
11/01/2019;34000;32280;3960
14/01/2019;34260;32700;3950
15/01/2019;34100;32500;3940
16/01/2019;34100;32680;4000
17/01/2019;34080;32680;3975
18/01/2019;34400;32580;3955
21/01/2019;34500;32740;3960
22/01/2019;34540;32860;4010
23/01/2019;34300;33400;4070
24/01/2019;34500;33480;4080
25/01/2019;34300;33900;4090
28/01/2019;34200;34300;4190
29/01/2019;34220;34500;4280
30/01/2019;34480;34120;4325
31/01/2019;34360;34480;4285
1/02/2019;34800;34620;4260
4/02/2019;35760;35520;4350
5/02/2019;36360;36000;4390
6/02/2019;36280;36000;4305
7/02/2019;36000;35220;4300
